GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ejercicio-test-3,es.test,ProductoRepository,1,50,1,3,0,8,1,8,0,7
ejercicio-test-3,es.test,Producto,0,43,0,6,0,14,0,8,0,5
ejercicio-test-3,es.test,ProductoService,0,32,0,0,0,8,0,5,0,5
